airport￨root
one￨nummod way￨root
ci0￨compound airport￨root
ground￨root ci0￨punct
code￨compound al0￨root
ci0￨compound airport￨root
al0￨root fn0￨flat
describ￨root ap0￨flat
ground￨compound transport￨root ci0￨punct
ground￨compound transport￨root ci0￨punct
what￨root is￨cop sa￨appos
what￨nsubj is￨cop ap0￨root
what￨nsubj is￨cop ap0￨root
onli￨discourse show￨root al0￨punct
explain￨root restrict￨xcomp rc0￨punct
pleas￨nsubj show￨root me￨iobj all￨det:predet the￨det flight￨obj from￨case ci1￨nmod to￨case ci0￨obl tomorrow￨obl:tmod
tell￨root me￨obj about￨case flight￨obl from￨case ci0￨compound arriv￨nmod in￨case ci1￨obl befor￨advmod ti0￨punct
pleas￨nsubj show￨root me￨iobj all￨det fare￨obj for￨case flight￨nmod from￨case ci0￨nmod to￨case ci1￨obl
show￨root me￨iobj the￨det cheapest￨amod round￨amod trip￨compound fare￨obj from￨case ci0￨nmod to￨case ci1￨obl
pleas￨nsubj list￨root all￨det flight￨obj that￨nsubj leav￨acl:relcl ci0￨obj befor￨mark ti0￨xcomp on￨obl al0￨punct
i￨nsubj need￨root a￨det flight￨obj from￨case ci1￨nmod to￨mark ci0￨advcl on￨case a￨det da0￨obl
what￨root are￨cop the￨det fare￨nsubj from￨case ci0￨nmod to￨case ci1￨compound da0￨nmod and￨cc da1￨conj
are￨cop there￨nmod:poss ani￨amod flight￨root next￨amod da0￨compound morn￨nmod:tmod from￨case ci1￨nmod to￨case ci0￨nmod
what￨det flight￨nsubj from￨case ci0￨nmod to￨case ci1￨nmod on￨case da0￨nmod leav￨root after￨advmod ti0￨punct
i￨nsubj want￨root to￨mark see￨xcomp the￨det cheapest￨amod flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
i￨nsubj 'd￨aux like￨root to￨mark fli￨xcomp from￨case ci0￨obl to￨case ci1￨obl on￨case mn0￨obl dn0￨punct
how￨advmod much￨amod doe￨compound flight￨nsubj al0￨aux fn0￨root from￨case ci0￨obl to￨case ci1￨det cost￨obl
show￨root me￨iobj first￨amod class￨compound flight￨obj from￨case ci1￨obl to￨mark ci0￨advcl on￨case da0￨obl
what￨root is￨cop your￨nmod:poss last￨amod flight￨nsubj leav￨case ci0￨nmod and￨cc arriv￨conj in￨case ci1￨nmod
what￨root are￨cop the￨det coach￨compound fare￨nsubj from￨case ci0￨nmod to￨case ci1￨nmod da0￨amod night￨obl:tmod
show￨root me￨iobj all￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨obl which￨det serv￨compound dinner￨parataxis
on￨case da0￨obl i￨nsubj 'd￨aux like￨root to￨mark travel￨xcomp from￨case ci0￨obl to￨case ci1￨compound michigan￨obl
what￨root are￨cop the￨det lowest￨amod one￨nummod way￨compound fare￨nsubj from￨case ci0￨nmod to￨case ci1￨nmod
what￨root is￨cop the￨det cheapest￨amod flight￨nsubj from￨case ci0￨nmod to￨case ci1￨det one￨nummod way￨nmod
i￨nsubj 'd￨aux like￨root to￨mark go￨xcomp from￨case ci1￨obl to￨mark ci0￨nsubj stop￨advcl in￨advmod ci2￨punct
list￨root all￨det flight￨compound leav￨compound ci0￨obj on￨case al0￨nmod on￨case da0￨obl after￨advmod ti0￨obl
show￨root me￨iobj al0￨det fare￨obj for￨case next￨amod da0￨nmod from￨case ci0￨obl to￨case ci1￨obl
what￨root is￨cop the￨det cheapest￨amod round￨amod trip￨compound fare￨nsubj between￨case ci1￨nmod and￨cc ci0￨conj
what￨root are￨cop the￨det coach￨compound fare￨nsubj for￨case flight￨nmod from￨case ci0￨nmod to￨case ci1￨nmod
i￨nsubj need￨root a￨det al0￨amod flight￨obj from￨case ci0￨obl to￨mark ci1￨advcl on￨case da0￨obl
i￨nsubj need￨root a￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨compound leav￨obl today￨obl:tmod even￨advmod
i￨nsubj need￨root a￨det flight￨obj from￨case ci1￨nmod to￨case ci0￨compound leav￨obl tomorrow￨obl:tmod even￨advmod
how￨advmod can￨aux i￨nsubj get￨root from￨case ci0￨obl to￨case ci1￨obl in￨case the￨det even￨advmod
show￨root me￨iobj the￨det flight￨compound arriv￨obj at￨case ap0￨nmod from￨case all￨det other￨amod airport￨obl
which￨nsubj airlin￨aux go￨root from￨case ci0￨obl to￨case ci1￨obl by￨case way￨obl of￨case ci2￨nmod
what￨root is￨cop first￨amod flight￨nsubj from￨case ci0￨nmod to￨mark ci1￨acl that￨det serv￨compound lunch￨obj
show￨root me￨iobj all￨det price￨obj of￨case first￨amod class￨nmod from￨case ci0￨obl to￨case ci1￨obl
i￨nsubj need￨root a￨det flight￨obj from￨case ci0￨nmod to￨mark ci1￨advcl on￨case da0￨obl dn0￨punct
show￨root me￨iobj all￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨compound ci2￨obl or￨cc ci3￨conj
i￨nsubj need￨root a￨det flight￨obj from￨case ci1￨nmod to￨mark ci0￨advcl leav￨obj at￨case ti0￨nmod
what￨det flight￨nsubj are￨aux avail￨root from￨case ci0￨obl to￨mark ci1￨advcl on￨case da0￨obl even￨advmod
what￨det flight￨root from￨case ci0￨nmod to￨mark ci1￨acl on￨case da0￨obl with￨case a￨det meal￨obl
what￨root is￨cop the￨det coach￨compound fare￨nsubj between￨case ci0￨nmod and￨cc ci1￨conj on￨case al0￨nmod
i￨nsubj would￨aux like￨root to￨mark see￨xcomp all￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
what￨root are￨cop the￨det flight￨compound avail￨nsubj after￨case ti0￨nmod between￨case ci0￨nmod and￨cc ci1￨conj
are￨root there￨nmod:poss ani￨amod flight￨nsubj from￨case ci0￨nmod to￨case ci1￨compound leav￨nmod befor￨advmod ti0￨punct
what￨root is￨cop the￨det cheapest￨amod flight￨nsubj from￨case ci0￨nmod to￨case ci1￨det one￨nummod way￨nmod
what￨root is￨cop the￨det cheapest￨amod one￨nummod way￨compound fare￨nsubj from￨case ci0￨nmod to￨case ci1￨nmod
show￨root me￨iobj the￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨obl on￨case mn0￨obl dn0￨punct
okay￨discourse i￨nsubj need￨root to￨mark get￨xcomp a￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
show￨root me￨iobj the￨det earliest￨amod flight￨obj on￨case da0￨nmod from￨case ci0￨obl to￨case ci1￨obl
i￨nsubj need￨root a￨det flight￨obj from￨case ci0￨nmod to￨mark ci1￨advcl on￨case da0￨compound afternoon￨obl
what￨root are￨cop the￨det cheapest￨amod round￨amod trip￨compound flight￨nsubj from￨case ci0￨nmod to￨case ci1￨nmod
list￨root the￨det flight￨compound arriv￨obj in￨case ci0￨obl from￨case ci1￨obl on￨case mn0￨obl dn0￨punct
what￨root are￨cop the￨det seat￨compound capac￨nsubj of￨case plane￨nmod between￨case ci0￨nmod and￨cc ci1￨conj
do￨root all￨det:predet the￨det flight￨obj to￨case ci0￨compound land￨nmod at￨case the￨det same￨amod place￨obl
i￨nsubj 'd￨aux like￨root a￨det al0￨amod flight￨obj on￨case da0￨nmod from￨case ci0￨obl to￨case ci1￨obl
what￨det flight￨root from￨case ci0￨nmod to￨case ci1￨nmod after￨case ti0￨nmod in￨case the￨det morn￨nmod
doe￨nsubj al0￨advmod have￨root a￨det flight￨obj from￨case ci1￨nmod to￨mark ci0￨advcl on￨case da0￨obl
list￨root all￨det:predet the￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨obl on￨case mn0￨obl dn0￨punct
what￨root is￨cop the￨det total￨amod seat￨compound capac￨nsubj of￨case all￨det aircraft￨nmod of￨case al0￨nmod
give￨root me￨iobj the￨det flight￨obj from￨case ci1￨nmod to￨case ci0￨compound leav￨compound earli￨obl today￨obl:tmod
list￨root nonstop￨amod flight￨obj from￨case ci0￨nmod to￨case ci1￨obl which￨nsubj arriv￨acl:relcl after￨advmod ti0￨punct
round￨amod trip￨root air￨compound fare￨appos from￨case ci0￨nmod to￨case ci1￨nmod less￨advmod than￨case do0￨obl
list￨root the￨det total￨amod number￨obj of￨case flight￨nmod between￨case all￨det airport￨nmod by￨nmod al0￨punct
which￨det airlin￨nsubj can￨aux fli￨root me￨obj from￨case ci1￨obl to￨mark ci2￨advcl to￨case ci0￨obl
what￨root are￨cop all￨det da0￨det flight￨nsubj from￨case ci1￨nmod to￨mark ci0￨acl on￨obl al0￨punct
how￨advmod much￨amod doe￨nsubj the￨det al0￨compound fn0￨root from￨case ci1￨nmod to￨case ci0￨det cost￨nmod
show￨root me￨iobj the￨det cheapest￨amod one￨nummod way￨compound fare￨obj from￨case ci0￨nmod to￨case ci1￨obl
what￨root is￨cop the￨det cheapest￨amod one￨nummod way￨compound flight￨nsubj from￨case ci0￨nmod to￨case ci1￨nmod
what￨root is￨cop the￨det earliest￨amod flight￨nsubj from￨case ci1￨nmod to￨mark ci0￨acl on￨case da0￨obl
show￨root me￨iobj the￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨obl at￨case economi￨compound level￨obl
i￨nsubj would￨aux like￨root to￨mark see￨xcomp the￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
i￨nsubj would￨aux like￨root to￨mark fli￨xcomp from￨case ci0￨obl to￨mark ci1￨advcl on￨case al0￨obl
what￨root is￨cop the￨det earliest￨amod flight￨nsubj from￨case ci0￨nmod to￨case ci1￨det first￨amod class￨nmod
is￨root there￨expl a￨det meal￨nsubj on￨case al0￨det fn0￨nmod from￨case ci1￨nmod to￨case ci0￨obl
show￨root me￨iobj the￨det flight￨obj from￨case ci1￨nmod to￨case ci0￨obl on￨case da0￨obl even￨advmod
what￨root is￨cop the￨det lowest￨amod fare￨compound al0￨compound charg￨nsubj between￨case ci1￨nmod and￨cc ci0￨conj
show￨root flight￨obj from￨case ci0￨obl to￨mark ci1￨advcl that￨det arriv￨obj after￨case ti0￨nummod o'clock￨obl
what￨det flight￨nsubj from￨case ci1￨nmod to￨mark ci0￨acl on￨case da0￨obl arriv￨root around￨advmod ti0￨punct
on￨case m￨nummod n￨compound 0￨nummod dn￨root 0￨nummod all￨det flight￨appos on￨case al0￨nmod from￨case ci1￨nmod to￨case ci0￨nmod
show￨root me￨iobj all￨det flight￨obj to￨case ci1￨nmod from￨case ci0￨compound ci2￨obl and￨cc ci3￨conj
what￨det flight￨root from￨case ci0￨nmod to￨case ci1￨nmod on￨case da0￨det morn￨compound serv￨compound breakfast￨nmod
i￨nsubj would￨aux like￨root to￨mark fli￨xcomp from￨case ci1￨obl to￨mark ci0￨advcl on￨case al0￨obl
give￨root me￨iobj the￨det latest￨amod al0￨compound flight￨obj from￨case ci0￨nmod to￨case ci1￨obl tomorrow￨obl:tmod
what￨det ground￨compound transport￨nsubj is￨aux avail￨root from￨case the￨det ap0￨obl to￨case downtown￨nmod ci0￨punct
how￨advmod mani￨compound citi￨nsubj are￨cop serv￨root by￨case al0￨obl with￨case first￨amod class￨compound flight￨obl
pleas￨root list￨compound ani￨compound flight￨appos from￨case ci0￨compound california￨nmod to￨case ci1￨nmod on￨case da0￨nmod
what￨root is￨cop the￨det cheapest￨amod fare￨nsubj one￨nummod way￨nmod:npmod between￨case ci0￨nmod and￨cc ci1￨conj
do￨root ani￨obj of￨case the￨det ci0￨nmod to￨case ci1￨det flight￨compound leav￨obl on￨case da0￨nmod
what￨det flight￨nsubj are￨cop there￨expl arriv￨root in￨case ci0￨obl after￨mark ti0￨advcl on￨obl al0￨punct
i￨nsubj 'd￨aux like￨root to￨mark find￨xcomp the￨det cheapest￨amod flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
what￨det flight￨nsubj are￨aux avail￨root from￨case ci1￨obl to￨case ci0￨obl in￨case the￨det afternoon￨obl
show￨root me￨iobj the￨det flight￨obj avail￨parataxis from￨case ci0￨obl to￨case ci1￨compound mn0￨obl dn0￨punct
i￨nsubj 'd￨aux like￨root to￨mark know￨xcomp the￨det earliest￨amod flight￨obj from￨case ci1￨nmod to￨case ci0￨obl
i￨nsubj need￨root a￨det round￨amod trip￨compound flight￨obj from￨case ci1￨nmod to￨case ci0￨compound california￨obl
what￨obj do￨aux you￨nsubj have￨root on￨case da0￨obl from￨case ci0￨obl to￨case ci1￨compound california￨obl
how￨advmod mani￨compound flight￨compound doe￨nsubj each￨det airlin￨nsubj have￨root with￨case busi￨compound class￨compound servic￨obl
now￨advmod i￨nsubj want￨root to￨mark see￨xcomp return￨compound flight￨obj from￨case ci1￨obl to￨case ci0￨obl
can￨aux you￨nsubj tell￨root me￨obj what￨det airlin￨compound fli￨ccomp between￨case ci1￨nmod and￨cc ci0￨conj
show￨root me￨iobj the￨det latest￨amod flight￨obj on￨case da0￨nmod from￨case ci1￨obl to￨case ci0￨obl
show￨root me￨iobj the￨det list￨obj of￨case al0￨amod flight￨nmod between￨case ci0￨nmod and￨cc ci1￨conj
i￨nsubj 'd￨aux like￨root to￨mark see￨xcomp all￨det:predet the￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
what￨nsubj airlin￨aux have￨root nonstop￨amod earli￨compound afternoon￨compound flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
give￨root me￨iobj the￨det al0￨amod flight￨obj from￨case ci0￨nmod to￨mark ci1￨advcl on￨case da0￨obl
list￨root the￨det fare￨obj of￨case the￨det al0￨amod flight￨nmod from￨case ci0￨nmod to￨case ci1￨obl
what￨root are￨cop the￨det flight￨nsubj from￨case ci0￨nmod to￨case ci1￨nmod on￨case da0￨nmod dn0￨punct
what￨root are￨cop the￨det price￨nsubj of￨case the￨det flight￨nmod from￨case ci0￨nmod to￨case ci1￨nmod
give￨root me￨iobj the￨det cheapest￨amod flight￨obj from￨case ci0￨nmod to￨mark ci1￨advcl on￨case da0￨obl
what￨root are￨cop the￨det fare￨nsubj between￨case ci0￨nmod and￨cc ci1￨conj on￨case da0￨compound morn￨obl
what￨root the￨det earliest￨amod flight￨nsubj from￨case ci0￨nmod to￨case ci1￨nmod on￨case da0￨compound morn￨nmod
i￨nsubj want￨root to￨mark see￨xcomp the￨det cheapest￨amod flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
show￨root me￨iobj the￨det last￨amod flight￨obj on￨case da0￨nmod from￨case ci0￨obl to￨case ci1￨obl
how￨advmod mani￨compound fare￨nsubj are￨root there￨expl one￨nummod way￨nsubj from￨case ci0￨nmod to￨nmod ci1￨punct
pleas￨nsubj list￨root all￨det flight￨obj between￨case ci0￨nmod and￨cc ci1￨compound oper￨conj on￨case da0￨obl
what￨obj do￨aux you￨nsubj have￨root from￨case ci0￨obl to￨mark ci1￨advcl on￨case da0￨compound morn￨obl
what￨root are￨cop the￨det cheapest￨amod round￨amod trip￨compound flight￨nsubj from￨case ci0￨nmod to￨case ci1￨nmod
show￨root me￨iobj the￨det flight￨obj go￨parataxis from￨case ci1￨obl to￨mark ci0￨advcl on￨case da0￨obl
what￨det aircraft￨nsubj is￨aux use￨root on￨case al0￨det fn0￨obl from￨case ci1￨obl to￨case ci0￨obl
what￨root are￨cop the￨det cheapest￨amod one￨nummod way￨compound flight￨nsubj from￨case ci0￨nmod to￨case ci1￨nmod
list￨root the￨det total￨amod number￨obj of￨case flight￨nmod to￨case all￨det airport￨nmod by￨case al0￨obl
give￨root me￨iobj the￨det al0￨obj from￨case ci0￨obl to￨mark ci1￨advcl on￨case da0￨compound morn￨obl
i￨nsubj need￨root to￨mark fli￨xcomp from￨case ci0￨obl to￨mark ci1￨advcl on￨case da0￨obl even￨advmod
doe￨nsubj al0￨advmod have￨root an￨det earli￨amod afternoon￨compound flight￨obj from￨case ci1￨nmod to￨case ci0￨obl
i￨nsubj 'd￨aux like￨root to￨mark know￨xcomp the￨det shortest￨amod trip￨obj between￨case ci1￨nmod and￨cc ci0￨conj
i￨nsubj need￨root a￨det flight￨obj from￨case ci1￨nmod to￨mark ci0￨advmod depart￨advcl after￨advmod ti0￨punct
all￨det round￨amod trip￨compound flight￨root between￨case ci0￨nmod and￨cc ci1￨conj busi￨compound class￨compound fare￨nmod
show￨root me￨iobj flight￨obj to￨case ci1￨obl from￨case ci0￨obl and￨cc ci2￨conj and￨cc ci3￨conj
what￨det time￨obj doe￨nsubj al0￨aux depart￨root from￨case ci1￨obl to￨mark go￨advcl to￨case ci0￨obl
doe￨compound ani￨nsubj airlin￨advmod have￨root an￨det afternoon￨compound flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod that￨nsubj depart￨parataxis 9￨nummod hour￨obl:tmod befor￨advmod arriv￨punct
how￨advmod much￨root is￨cop the￨det ground￨compound transport￨nsubj between￨case ci0￨compound and￨cc ap0￨conj downtown￨nmod
do￨aux you￨nsubj have￨root a￨det ac0￨obj that￨nsubj fli￨acl:relcl from￨case ci0￨obl to￨case ci1￨obl
what￨root is￨cop the￨det least￨nmod expens￨compound flight￨nsubj today￨nmod:tmod from￨case ci1￨nmod to￨case ci0￨nmod
show￨root me￨iobj the￨det price￨obj of￨case all￨det flight￨nmod from￨case ci1￨nmod to￨case ci0￨obl
are￨root there￨expl ani￨det nonstop￨amod flight￨nsubj from￨case ci0￨nmod to￨mark ci1￨nmod on￨case da0￨nmod
i￨nsubj would￨aux like￨root some￨det inform￨obj on￨case flight￨compound leav￨compound ci0￨nmod to￨case ci1￨nmod
doe￨compound flight￨compound al0￨root fn￨appos 0￨nummod from￨case ci0￨nmod to￨case ci1￨compound leav￨nmod on￨case da0￨nmod
what￨root are￨cop the￨det flight￨nsubj from￨case ci0￨nmod to￨case ci1￨nmod on￨case da0￨compound afternoon￨obl
show￨root me￨iobj flight￨obj from￨case ci0￨nmod to￨case ci1￨obl earli￨nsubj am￨cop on￨case da0￨parataxis
pleas￨nsubj list￨root the￨det da0￨compound flight￨obj from￨case ci0￨nmod to￨case ci1￨obl on￨case al0￨obl
how￨advmod mani￨compound citi￨nsubj are￨cop serv￨root by￨case al0￨obl with￨case first￨amod class￨compound flight￨obl
i￨nsubj 'm￨aux look￨root for￨case flight￨obl from￨case ci0￨nmod to￨case ci1￨compound leav￨obl befor￨advmod ti0￨punct
i￨nsubj 'd￨aux like￨root a￨det round￨amod trip￨compound ticket￨obj from￨case ci0￨nmod to￨case ci1￨compound washington￨obl
show￨root me￨iobj the￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨obl in￨case first￨amod class￨obl
show￨root ani￨compound flight￨compound leav￨compound ci0￨obj on￨case da0￨obl and￨cc arriv￨conj in￨case ci1￨obl
what￨root are￨cop the￨det flight￨nsubj from￨case ci0￨nmod to￨case ci1￨nmod in￨case the￨det afternoon￨nmod
i￨nsubj 'd￨aux like￨root first￨amod flight￨obj in￨case the￨det morn￨obl from￨case ci0￨obl to￨case ci1￨obl
i￨nsubj would￨aux like￨root to￨mark see￨xcomp all￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
what￨obj airlin￨aux fli￨nsubj between￨case ci1￨nmod and￨cc ci0￨conj and￨cc stop￨root in￨obl ci2￨punct
what￨nsubj the￨det differ￨root between￨case fare￨compound code￨compound fb0￨obl and￨cc fare￨compound code￨conj rc0￨punct
show￨root me￨iobj the￨det flight￨obj from￨case ap0￨nmod to￨case ci0￨compound leav￨obl after￨advmod ti0￨punct
what￨root are￨cop the￨det flight￨nsubj from￨case ci1￨nmod to￨case ci0￨nmod on￨case da0￨nmod dn0￨punct
i￨nsubj would￨aux like￨root to￨mark fli￨xcomp from￨case ci0￨obl to￨case ci1￨det next￨amod da0￨obl
show￨root me￨iobj the￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨obl on￨case a￨det da0￨obl
how￨advmod much￨amod doe￨compound flight￨nsubj al0￨aux fn0￨root from￨case ci0￨obl to￨case ci1￨det cost￨obl
what￨root is￨cop the￨det earliest￨amod flight￨compound leav￨nsubj from￨case ci0￨nmod go￨acl to￨case ci1￨obl
i￨nsubj want￨root to￨mark see￨xcomp the￨det cheapest￨amod flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
what￨root is￨cop the￨det cheapest￨amod flight￨nsubj on￨case al0￨nmod from￨case ci0￨nmod to￨case ci1￨nmod
i￨nsubj 'd￨aux like￨root a￨det return￨compound flight￨obj from￨case ci0￨nmod to￨case ci1￨obl even￨advmod flight￨obj
what￨root is￨cop the￨det least￨nmod expens￨amod flight￨compound avail￨nsubj from￨case ci0￨nmod to￨case ci1￨nmod
what￨root is￨cop the￨det earliest￨amod flight￨nsubj from￨case ci1￨nmod to￨mark ci0￨acl on￨case al0￨obl
give￨root me￨iobj all￨det:predet the￨det flight￨obj from￨case ci0￨nmod to￨mark ci1￨advcl on￨obl al0￨punct
tell￨root me￨obj about￨case flight￨obl from￨case ci1￨nmod to￨case ci0￨compound leav￨obl after￨advmod ti0￨punct
show￨root me￨iobj the￨det ground￨obj transport￨nsubj schedul￨parataxis in￨case ci0￨obl on￨case da0￨obl even￨advmod
pleas￨nsubj give￨root me￨iobj ground￨compound transport￨obj inform￨xcomp between￨case ap0￨obl and￨cc downtown￨conj ci0￨punct
what￨root is￨cop the￨det fare￨nsubj from￨case ci1￨nmod to￨case ci0￨nmod on￨case al0￨nmod fn0￨punct
what￨det type￨nsubj of￨case aircraft￨nmod leav￨root from￨case ci1￨obl to￨mark ci0￨advcl at￨case ti0￨obl
how￨advmod much￨amod doe￨obj it￨expl cost￨root to￨mark fli￨xcomp from￨case ci0￨obl to￨case ci1￨obl
show￨root me￨iobj all￨det:predet the￨det flight￨obj to￨case ci0￨nmod after￨case ti0￨nummod o'clock￨nummod pm￨obl
show￨root me￨iobj the￨det cheapest￨amod round￨amod trip￨compound fare￨obj from￨case ci1￨nmod to￨case ci0￨obl
what￨det kind￨obj of￨case ground￨compound transport￨obl can￨aux you￨nsubj offer￨root me￨obj in￨obl ci0￨punct
i￨nsubj would￨aux like￨root to￨mark fli￨xcomp to￨mark ci0￨advcl earli￨obj in￨case the￨det day￨obl
show￨root me￨iobj the￨det cheapest￨amod one￨nummod way￨compound ticket￨obj from￨case ci0￨nmod to￨case ci1￨obl
what￨root is￨cop the￨det cheapest￨amod flight￨nsubj from￨case ci1￨nmod to￨mark ci0￨acl on￨case da0￨obl
what￨det flight￨obj do￨aux you￨nsubj have￨root leav￨compound ci1￨obj and￨cc arriv￨conj in￨case ci0￨obl
how￨advmod mani￨nsubj daili￨flat al0￨det flight￨nsubj are￨cop there￨root between￨case ci0￨obl and￨cc ci1￨punct
inform￨root on￨case round￨amod trip￨compound flight￨obl from￨case ci1￨obl to￨case ci0￨det first￨amod class￨obl
what￨det flight￨nsubj from￨case ci1￨nmod to￨mark ci0￨acl on￨case da0￨obl arriv￨root around￨advmod ti0￨punct
what￨root is￨cop the￨det cheapest￨amod round￨amod trip￨compound flight￨nsubj from￨case ci0￨nmod to￨case ci1￨nmod
what￨root the￨det cheapest￨amod flight￨nsubj from￨case ci0￨nmod to￨case ci1￨nmod on￨case mn0￨nmod dn0￨punct
do￨aux you￨nsubj have￨root ani￨compound flight￨obj from￨case ci0￨nmod to￨case ci1￨obl via￨case ci2￨nmod
i￨nsubj would￨aux like￨root to￨mark see￨xcomp the￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
is￨cop the￨det al0￨amod fn0￨root from￨case ci0￨nmod to￨mark ci1￨acl a￨det nonstop￨amod flight￨obj
pleas￨nsubj tell￨root me￨iobj the￨det flight￨obj between￨case ci0￨nmod and￨cc ci1￨det next￨amod da0￨conj
what￨root is￨cop the￨det cheapest￨amod fare￨nsubj from￨case ci0￨nmod to￨mark ci1￨acl on￨case al0￨obl
i￨nsubj want￨root the￨det list￨obj of￨case daili￨amod flight￨nmod from￨case ci1￨nmod to￨case ci0￨obl
i￨nsubj 'd￨aux like￨root to￨mark know￨xcomp the￨det inform￨obj from￨case ci0￨nmod to￨case ci1￨obl nonstop￨advmod
i￨nsubj need￨root ground￨compound transport￨obj in￨case ci0￨det pleas￨nmod show￨parataxis me￨obj what￨nsubj avail￨ccomp
list￨root all￨det flight￨obj on￨case al0￨det leav￨compound ci0￨obl on￨case da0￨obl after￨advmod ti0￨punct
what￨root the￨det earliest￨amod flight￨nsubj from￨case ci0￨nmod to￨mark ap0￨acl that￨det serv￨compound dinner￨obj
all￨nsubj right￨advmod do￨aux you￨nsubj have￨root a￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨punct
what￨det flight￨root from￨case ci0￨nmod to￨mark ci1￨acl on￨case da0￨obl with￨case lunch￨compound serv￨obl
show￨root me￨iobj the￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨obl on￨case mn0￨obl dn0￨punct
could￨aux you￨nsubj pleas￨root show￨xcomp me￨iobj all￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
give￨root me￨iobj al0￨obj from￨case ci0￨obl to￨mark ci1￨advcl on￨case da0￨obl and￨cc da1￨conj
on￨case al0￨obl give￨root me￨iobj the￨det flight￨compound time￨obj from￨case ci0￨nmod to￨case ci1￨obl
pleas￨nsubj show￨root me￨iobj the￨det round￨amod trip￨compound flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
tell￨root me￨obj about￨case ground￨compound transport￨obl between￨case the￨det ap0￨nmod and￨cc downtown￨conj ci0￨punct
list￨root the￨det earliest￨amod flight￨obj from￨case ci0￨nmod to￨case ci1￨obl on￨case a￨det da0￨obl
pleas￨nsubj show￨root me￨iobj all￨det round￨amod trip￨compound flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
what￨root are￨cop first￨amod class￨compound fare￨nsubj from￨case ci0￨nmod to￨case ci1￨nmod on￨case da0￨nmod
can￨aux you￨nsubj tell￨root me￨iobj the￨det cheapest￨amod flight￨obj between￨case ci1￨nmod and￨cc ci0￨conj
i￨nsubj would￨aux like￨root to￨mark see￨xcomp the￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
round￨amod trip￨root air￨compound fare￨appos from￨case ci0￨nmod to￨case ci1￨nmod less￨advmod than￨case do0￨obl
may￨aux i￨nsubj see￨root all￨det:predet the￨det flight￨obj from￨case ci1￨nmod to￨case ci0￨compound pleas￨obl
show￨root me￨iobj the￨det flight￨obj from￨case ci1￨nmod to￨case ci0￨compound leav￨obl after￨advmod ti0￨punct
what￨root is￨cop the￨det cheapest￨amod round￨amod trip￨compound fare￨nsubj from￨case ci0￨nmod to￨case ci1￨nmod
doe￨compound ani￨nsubj airlin￨advmod have￨root a￨det jet￨compound flight￨obj between￨case ci0￨nmod and￨cc ci1￨conj
i￨nsubj would￨aux like￨root to￨mark go￨xcomp from￨case ci0￨obl to￨mark ci1￨advcl on￨case da0￨obl
show￨root me￨iobj the￨det flight￨obj on￨case da0￨det morn￨nmod from￨case ci0￨obl to￨case ci1￨obl
give￨root me￨iobj the￨det flight￨obj from￨case ci0￨compound tennesse￨nmod to￨case ci1￨det north￨compound carolina￨obl
show￨root me￨iobj the￨det fare￨obj for￨case al0￨det fn0￨nmod from￨case ci0￨obl to￨case ci1￨obl
list￨root all￨det flight￨obj from￨case ci0￨obl to￨case ci1￨obl after￨case ti0￨compound da0￨obl nonstop￨advmod
which￨det airlin￨nsubj has￨root more￨amod busi￨compound class￨compound flight￨obj than￨case ani￨compound other￨nmod airlin￨punct
list￨root all￨det nonstop￨amod flight￨obj from￨case ci0￨obl to￨case ci1￨compound leav￨obl on￨case da0￨obl
show￨root me￨iobj the￨det earliest￨amod flight￨obj on￨case da0￨nmod from￨case ci0￨obl to￨case ci1￨obl
i￨nsubj 'm￨cop interest￨root in￨case a￨det flight￨nmod on￨case al0￨nmod from￨case ci0￨nmod to￨case ci1￨nmod
list￨root all￨det flight￨compound leav￨compound ci0￨obj on￨case al0￨nmod on￨case da0￨obl after￨advmod ti0￨obl
