airport￨NN￨root￨ROOT
one￨CD￨nummod￨way way￨NN￨root￨ROOT
ci0￨NNP￨compound￨airport airport￨NN￨root￨ROOT
ground￨NN￨root￨ROOT ci0￨.￨punct￨ground
code￨NN￨compound￨al0 al0￨NN￨root￨ROOT
ci0￨NNP￨compound￨airport airport￨NN￨root￨ROOT
al0￨NNP￨root￨ROOT fn0￨NNP￨flat￨al0
describ￨NNP￨root￨ROOT ap0￨NNP￨flat￨describ
ground￨NN￨compound￨transport transport￨NN￨root￨ROOT ci0￨.￨punct￨transport
ground￨NN￨compound￨transport transport￨NN￨root￨ROOT ci0￨.￨punct￨transport
what￨WP￨root￨ROOT is￨VBZ￨cop￨what sa￨NNP￨appos￨what
what￨WP￨nsubj￨ap0 is￨VBZ￨cop￨ap0 ap0￨JJ￨root￨ROOT
what￨WP￨nsubj￨ap0 is￨VBZ￨cop￨ap0 ap0￨JJ￨root￨ROOT
onli￨UH￨discourse￨show show￨VB￨root￨ROOT al0￨.￨punct￨show
explain￨VB￨root￨ROOT restrict￨VB￨xcomp￨explain rc0￨.￨punct￨explain
i￨PRP￨nsubj￨need need￨VBP￨root￨ROOT to￨TO￨mark￨book book￨VB￨xcomp￨need a￨DT￨det￨flight flight￨NN￨obj￨book from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨TO￨mark￨ci1 ci1￨VB￨advcl￨book on￨IN￨case￨mn0 mn0￨NNP￨obl￨ci1 dn0￨.￨punct￨need
i￨PRP￨nsubj￨need need￨VBP￨root￨ROOT a￨DT￨det￨flight flight￨NN￨obj￨need from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨TO￨mark￨reach ci1￨RB￨advmod￨reach reach￨VB￨advcl￨need ci1￨NN￨obj￨reach on￨IN￨case￨morn da0￨NNP￨compound￨morn morn￨NN￨obl￨reach
now￨RB￨advmod￨list list￨VB￨root￨ROOT for￨IN￨case￨me me￨PRP￨obl￨list onli￨IN￨case￨al0 the￨DT￨det￨al0 al0￨NN￨obl￨list that￨DT￨det￨flight flight￨NN￨obl:npmod￨list from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨list
what￨WP￨root￨ROOT are￨VBP￨cop￨what the￨DT￨det￨schedul schedul￨NN￨nsubj￨what of￨IN￨case￨flight flight￨NN￨nmod￨schedul from￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight to￨IN￨case￨ci0 ci0￨NN￨nmod￨schedul for￨IN￨case￨mn0 mn0￨NN￨nmod￨ci0 dn0￨.￨punct￨what
show￨VB￨root￨ROOT me￨PRP￨iobj￨show all￨DT￨det￨flight flight￨NN￨obj￨show from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨trip ci1￨DT￨det￨trip round￨JJ￨amod￨trip trip￨NN￨obl￨show less￨JJR￨advmod￨show than￨IN￨case￨do0 do0￨NNP￨obl￨less
show￨VB￨root￨ROOT me￨PRP￨iobj￨show all￨PDT￨det:predet￨flight the￨DT￨det￨flight flight￨NN￨obj￨show on￨IN￨case￨al0 al0￨NN￨nmod￨flight from￨IN￨case￨ci0 ci0￨NN￨obl￨show to￨TO￨mark￨ci2 ci2￨VB￨advcl￨show to￨IN￨case￨ci1 ci1￨NNP￨obl￨ci2
i￨PRP￨nsubj￨like would￨MD￨aux￨like like￨VB￨root￨ROOT an￨DT￨det￨flight even￨JJ￨amod￨flight flight￨NN￨obj￨like from￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight to￨IN￨case￨ci0 ci0￨NNP￨obl￨like on￨IN￨case￨mn0 mn0￨NNP￨obl￨like dn0￨.￨punct￨like
what￨WP￨root￨ROOT is￨VBZ￨cop￨what the￨DT￨det￨ticket cheapest￨JJS￨amod￨ticket ticket￨NN￨nsubj￨what from￨IN￨case￨ci1 ci1￨NNP￨nmod￨ticket to￨TO￨mark￨ci0 ci0￨VB￨acl￨ticket on￨IN￨case￨mn0 da0￨DT￨det￨mn0 mn0￨NN￨obl￨ci0 dn0￨.￨punct￨what
display￨VB￨root￨ROOT all￨DT￨det￨flight flight￨NN￨obj￨display from￨IN￨case￨ci1 ci1￨NNP￨obl￨display to￨TO￨mark￨ci0 ci0￨NNP￨obl￨display on￨IN￨case￨stop al0￨DT￨det￨stop stop￨NN￨nmod￨ci0 over￨RB￨advmod￨display in￨IN￨case￨ci2 ci2￨NN￨obl￨display
could￨MD￨aux￨pleas you￨PRP￨nsubj￨pleas pleas￨VB￨root￨ROOT give￨VB￨xcomp￨pleas me￨PRP￨iobj￨give the￨DT￨det￨fare round￨JJ￨amod￨trip trip￨NN￨compound￨fare fare￨NN￨obj￨give from￨IN￨case￨ci0 ci0￨NN￨nmod￨fare to￨IN￨case￨ci1 ci1￨NNP￨obl￨give
i￨PRP￨nsubj￨need need￨VBP￨root￨ROOT a￨DT￨det￨flight flight￨NN￨obj￨need leav￨IN￨case￨arriv ci1￨DT￨det￨arriv next￨JJ￨amod￨arriv da0￨NN￨compound￨arriv arriv￨NN￨nmod￨flight in￨IN￨case￨ci0 ci0￨NNP￨obl￨need befor￨RB￨advmod￨need ti0￨.￨punct￨need
list￨VB￨root￨ROOT the￨DT￨det￨arriv flight￨NN￨compound￨arriv arriv￨NN￨obj￨list in￨IN￨case￨ci0 ci0￨NN￨obl￨list from￨IN￨case￨ci1 ci1￨NNP￨obl￨list befor￨IN￨case￨ti0 ti0￨NN￨obl￨list on￨IN￨case￨mn0 mn0￨NNP￨nmod￨ti0 dn0￨.￨punct￨list
find￨VB￨root￨ROOT a￨DT￨det￨flight nonstop￨JJ￨amod￨flight flight￨NN￨obj￨find between￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight and￨CC￨cc￨ci1 ci1￨NN￨conj￨ci0 arriv￨NN￨conj￨ci0 in￨IN￨case￨ci1 ci1￨NN￨obl￨find around￨RB￨advmod￨find ti0￨.￨punct￨find
find￨VB￨root￨ROOT the￨DT￨det￨flight flight￨NN￨obj￨find leav￨IN￨case￨ci1 ci1￨NN￨obl￨find and￨CC￨cc￨go go￨VB￨conj￨find to￨IN￨case￨ci0 ci0￨NN￨obl￨go that￨WDT￨nsubj￨leav leav￨VBP￨acl:relcl￨ci0 after￨RB￨advmod￨leav ti0￨.￨punct￨find
a￨DT￨det￨list list￨NN￨root￨ROOT of￨IN￨case￨flight all￨DT￨det￨flight flight￨NN￨nmod￨list from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight befor￨TO￨mark￨ti0 ti0￨VB￨acl￨list on￨IN￨case￨da0 da0￨NNP￨obl￨ti0
al0￨UH￨discourse￨leav fn0￨MD￨aux￨leav leav￨VB￨root￨ROOT ci0￨NN￨obj￨leav at￨RB￨case￨ti0 ti0￨RB￨advmod￨what what￨WP￨ccomp￨leav is￨VBZ￨cop￨what the￨DT￨det￨time arriv￨JJ￨amod￨time time￨NN￨nsubj￨what in￨IN￨case￨ci1 ci1￨NNP￨nmod￨time
i￨PRP￨nsubj￨like 'd￨MD￨aux￨like like￨VB￨root￨ROOT to￨TO￨mark￨know know￨VB￨xcomp￨like if￨IN￨mark￨have you￨PRP￨nsubj￨have have￨VBP￨advcl￨know ani￨NN￨compound￨flight flight￨NN￨obj￨have from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨have
i￨PRP￨nsubj￨need now￨RB￨advmod￨need need￨VBP￨root￨ROOT a￨DT￨det￨flight flight￨NN￨obj￨need from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨leav ci1￨NNP￨compound￨leav leav￨NN￨obl￨need on￨IN￨case￨da0 da0￨NNP￨nmod￨leav dn0￨.￨punct￨need
show￨VB￨root￨ROOT me￨PRP￨iobj￨show all￨DT￨det￨flight flight￨NN￨obj￨show from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨show with￨IN￨case￨stop a￨DT￨det￨stop stop￨NN￨obl￨show in￨IN￨case￨ci2 ci2￨NN￨nmod￨stop
show￨VB￨root￨ROOT me￨PRP￨iobj￨show all￨PDT￨det:predet￨flight the￨DT￨det￨flight flight￨NN￨obj￨show to￨TO￨mark￨ci0 ci0￨VB￨acl￨flight from￨IN￨case￨ci1 ci1￨NN￨obl￨ci0 or￨CC￨cc￨ci2 ci2￨NN￨conj￨ci1 or￨CC￨cc￨ci3 ci3￨NNP￨conj￨ci1
what￨WDT￨det￨flight flight￨NN￨nsubj￨avail are￨VBP￨aux￨avail avail￨VB￨root￨ROOT from￨IN￨case￨ci1 ci1￨NN￨obl￨avail to￨IN￨case￨dn0 ci0￨NNP￨compound￨dn0 late￨JJ￨amod￨dn0 dn0￨NN￨obl￨avail or￨CC￨cc￨dn earli￨NN￨conj￨dn0 dn￨NN￨obl￨avail 1￨CD￨nummod￨dn
show￨VB￨root￨ROOT me￨PRP￨iobj￨show the￨DT￨det￨flight al0￨JJ￨amod￨flight flight￨NN￨obj￨show from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨leav ci1￨NNP￨compound￨leav leav￨NN￨obl￨show on￨IN￨case￨mn0 mn0￨NNP￨nmod￨leav dn0￨.￨punct￨show
show￨VB￨root￨ROOT me￨PRP￨obj￨show what￨WDT￨det￨flight flight￨NN￨nsubj￨avail are￨VBP￨aux￨avail avail￨VB￨ccomp￨show from￨IN￨case￨ci0 ci0￨NN￨obl￨avail to￨TO￨mark￨ci1 ci1￨VB￨advcl￨avail with￨IN￨case￨fare economi￨NN￨compound￨fare fare￨NN￨obl￨ci1
what￨WP￨root￨ROOT are￨VBP￨cop￨what the￨DT￨det￨flight flight￨NN￨nsubj￨what from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight for￨IN￨case￨night tomorrow￨NN￨compound￨night night￨NN￨obl￨what or￨CC￨cc￨even even￨RB￨conj￨night
what￨WDT￨det￨flight flight￨NN￨nsubj￨avail are￨VBP￨aux￨avail avail￨VB￨root￨ROOT on￨IN￨case￨al0 al0￨NN￨obl￨avail from￨IN￨case￨ci0 ci0￨NNP￨obl￨avail to￨IN￨case￨ci1 ci1￨NNP￨obl￨avail on￨IN￨case￨morn da0￨NNP￨compound￨morn morn￨NN￨obl￨avail
which￨WDT￨nsubj￨fli airlin￨VBZ￨aux￨fli fli￨VB￨root￨ROOT from￨IN￨case￨ci1 ci1￨NNP￨obl￨fli to￨IN￨case￨ci0 ci0￨NNP￨obl￨fli and￨CC￨cc￨have have￨VB￨conj￨fli a￨DT￨det￨stopov stopov￨NN￨obj￨have in￨IN￨case￨ci2 ci2￨NNP￨nmod￨stopov
i￨PRP￨nsubj￨like would￨MD￨aux￨like like￨VB￨root￨ROOT to￨TO￨mark￨find find￨VB￨xcomp￨like the￨DT￨det￨flight least￨RBS￨nmod￨expens expens￨JJ￨amod￨flight flight￨NN￨obj￨find from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨find
what￨WP￨root￨ROOT is￨VBZ￨cop￨what first￨JJ￨amod￨flight flight￨NN￨nsubj￨what that￨WDT￨nsubj￨travel travel￨VBP￨acl:relcl￨flight from￨IN￨case￨ci0 ci0￨NNP￨obl￨travel to￨TO￨mark￨ci1 ci1￨VB￨advcl￨travel that￨DT￨det￨lunch serv￨NN￨compound￨lunch lunch￨NN￨obj￨ci1
what￨WP￨nsubj￨'r 'r￨VBP￨root￨ROOT the￨DT￨det￨flight flight￨NN￨nsubj￨'r from￨IN￨case￨citi ci0￨NNP￨compound￨citi citi￨NNP￨nmod￨flight to￨TO￨mark￨ci1 ci1￨VB￨advcl￨'r that￨DT￨det￨arriv arriv￨NN￨obj￨ci1 on￨IN￨case￨da0 a￨DT￨det￨da0 da0￨NN￨obl￨ci1
can￨MD￨aux￨show you￨PRP￨nsubj￨show show￨VB￨root￨ROOT me￨PRP￨iobj￨show the￨DT￨det￨flight flight￨NN￨obj￨show from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨mark￨ci1 ci1￨VB￨advcl￨show with￨IN￨case￨fare economi￨NN￨compound￨fare fare￨NN￨obl￨ci1
what￨WP￨root￨ROOT is￨VBZ￨cop￨what the￨DT￨det￨flight earliest￨JJS￨amod￨flight flight￨NN￨nsubj￨what from￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight to￨TO￨mark￨ci0 ci0￨VB￨acl￨flight that￨DT￨obj￨ci0 serv￨IN￨case￨meal a￨DT￨det￨meal meal￨NN￨obl￨ci0
i￨PRP￨nsubj￨like would￨MD￨aux￨like like￨VB￨root￨ROOT a￨DT￨det￨flight nonstop￨JJ￨amod￨flight flight￨NN￨obj￨like from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨TO￨mark￨ci1 ci1￨VB￨advcl￨like on￨IN￨case￨mn0 mn0￨NNP￨obl￨ci1 dn0￨.￨punct￨like
show￨VB￨root￨ROOT me￨PRP￨iobj￨show all￨PDT￨det:predet￨arriv the￨DT￨det￨arriv flight￨NN￨compound￨arriv arriv￨NNS￨obj￨show in￨IN￨case￨ci0 ci0￨NN￨nmod￨arriv around￨IN￨case￨pleas ti0￨DT￨det￨pleas next￨JJ￨amod￨pleas da0￨NN￨compound￨pleas pleas￨NNS￨obl￨show
what￨WP￨root￨ROOT is￨VBZ￨cop￨what the￨DT￨det￨cost cost￨NN￨nsubj￨what of￨IN￨case￨ticket a￨DT￨det￨ticket first￨JJ￨amod￨ticket class￨NN￨compound￨ticket ticket￨NN￨nmod￨cost from￨IN￨case￨ci0 ci0￨NN￨nmod￨ticket to￨IN￨case￨ci1 ci1￨NNP￨nmod￨ci0
okay￨UH￨discourse￨need i￨PRP￨nsubj￨need need￨VBP￨root￨ROOT to￨TO￨mark￨see see￨VB￨xcomp￨need economi￨DT￨det￨flight flight￨NN￨obj￨see on￨IN￨case￨al0 al0￨NN￨nmod￨flight between￨IN￨case￨ci0 ci0￨NNP￨nmod￨al0 and￨CC￨cc￨ci1 ci1￨NNP￨conj￨ci0
i￨PRP￨nsubj￨like 'd￨MD￨aux￨like like￨VB￨root￨ROOT a￨DT￨det￨flight flight￨NN￨obj￨like from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨TO￨mark￨ci1 ci1￨VB￨advcl￨like on￨IN￨case￨around al0￨DT￨det￨leav leav￨NN￨obl￨ci1 around￨RB￨obl￨ci1 ti0￨.￨punct￨like
show￨VB￨root￨ROOT me￨PRP￨iobj￨show the￨DT￨det￨flight flight￨NN￨obj￨show from￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight to￨IN￨case￨ci0 ci0￨NNP￨obl￨show for￨IN￨case￨night da0￨DT￨det￨night night￨NN￨obl￨show or￨CC￨cc￨da1 da1￨NNP￨conj￨night
pleas￨NNS￨nsubj￨list list￨VBP￨root￨ROOT the￨DT￨det￨flight al0￨JJ￨amod￨flight flight￨NN￨obj￨list from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨list on￨IN￨case￨mn0 da0￨NNP￨compound￨mn0 mn0￨NN￨obl￨list dn0￨.￨punct￨list
show￨VB￨root￨ROOT me￨PRP￨iobj￨show all￨PDT￨det:predet￨fare the￨DT￨det￨fare cheapest￨JJS￨amod￨fare fare￨NN￨obj￨show from￨IN￨case￨ci0 ci0￨NN￨nmod￨fare to￨IN￨case￨leav ci1￨PRP$￨nmod:poss￨leav leav￨NN￨obl￨show on￨IN￨case￨da0 da0￨NN￨nmod￨leav
show￨VB￨root￨ROOT me￨PRP￨iobj￨show flight￨NN￨obj￨show on￨IN￨case￨ci0 da0￨DT￨det￨ci0 morn￨NN￨compound￨ci0 ci0￨NN￨obl￨show to￨IN￨case￨ci1 ci1￨NN￨obl￨show for￨IN￨case￨class al0￨DT￨det￨class first￨JJ￨amod￨class class￨NN￨obl￨show
what￨WP￨root￨ROOT is￨VBZ￨cop￨what the￨DT￨det￨number flight￨NN￨compound￨number number￨NN￨nsubj￨what of￨IN￨case￨flight the￨DT￨det￨flight earliest￨JJS￨amod￨flight flight￨NN￨nmod￨number between￨IN￨case￨ci1 ci1￨NNS￨nmod￨flight and￨CC￨cc￨ci0 ci0￨NNP￨conj￨ci1
what￨WP￨root￨ROOT is￨VBZ￨cop￨what the￨DT￨det￨schedul schedul￨NN￨nsubj￨what of￨IN￨case￨transport ground￨NN￨compound￨transport transport￨NN￨nmod￨schedul from￨IN￨case￨ap0 the￨DT￨det￨ap0 ap0￨NN￨nmod￨schedul into￨IN￨case￨ci0 ci0￨NNP￨compound￨downtown downtown￨NN￨obl￨what
what￨WP￨root￨ROOT are￨VBP￨cop￨what the￨DT￨det￨flight latest￨JJS￨amod￨flight flight￨NN￨nsubj￨what that￨WDT￨obj￨take i￨PRP￨nsubj￨take can￨MD￨aux￨take take￨VB￨acl:relcl￨flight from￨IN￨case￨ci0 ci0￨NN￨obl￨take to￨IN￨case￨that ci1￨.￨punct￨what
i￨PRP￨nsubj￨want want￨VBP￨root￨ROOT a￨DT￨det￨flight flight￨NN￨obj￨want that￨WDT￨nsubj￨da0 leav￨VBZ￨aux￨da0 da0￨VB￨acl:relcl￨flight around￨IN￨case￨ti0 ti0￨NN￨obl￨da0 from￨IN￨case￨ci1 ci1￨NNP￨obl￨da0 to￨IN￨case￨ci0 ci0￨NNP￨obl￨da0
what￨WP￨root￨ROOT is￨VBZ￨cop￨what the￨DT￨det￨price price￨NN￨nsubj￨what of￨IN￨case￨ticket a￨DT￨det￨ticket first￨JJ￨amod￨ticket class￨NN￨compound￨ticket ticket￨NN￨nmod￨price from￨IN￨case￨ci1 ci1￨NNP￨nmod￨ticket to￨IN￨case￨ci0 ci0￨NNP￨nmod￨ci1
i￨PRP￨nsubj￨live live￨VBP￨root￨ROOT in￨IN￨case￨ci0 ci0￨NNP￨obl￨live and￨CC￨cc￨like i￨PRP￨nsubj￨like 'd￨MD￨aux￨like like￨VB￨conj￨live to￨TO￨mark￨make make￨VB￨xcomp￨like a￨DT￨det￨trip trip￨NN￨obj￨make to￨IN￨case￨ci1 ci1￨NNP￨nmod￨trip
can￨MD￨aux￨list you￨PRP￨nsubj￨list list￨VB￨root￨ROOT all￨DT￨det￨flight flight￨NN￨obj￨list from￨IN￨case￨ci1 ci1￨NN￨nmod￨flight to￨IN￨case￨ci0 ci0￨NNS￨obl￨list that￨WDT￨nsubj￨depart depart￨VBP￨acl:relcl￨ci0 after￨RB￨advmod￨depart ti0￨.￨punct￨list
list￨NN￨compound￨ci0 flight￨NN￨compound￨leav leav￨NN￨compound￨ci0 ci0￨NN￨nsubj￨depart and￨CC￨cc￨arriv arriv￨NN￨conj￨ci0 in￨IN￨case￨ci1 ci1￨NN￨nmod￨ci0 on￨IN￨case￨da0 da0￨NN￨nmod￨ci1 depart￨VBP￨root￨ROOT after￨RB￨advmod￨ti0 ti0￨NNP￨obl￨depart
show￨VB￨root￨ROOT me￨PRP￨iobj￨show flight￨NN￨obj￨show from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨show on￨IN￨case￨night da0￨DT￨det￨night night￨NN￨obl￨show or￨CC￨cc￨morn da1￨NNP￨compound￨morn morn￨NN￨conj￨night
how￨WRB￨advmod￨much much￨JJ￨amod￨doe doe￨NN￨nsubj￨cost it￨PRP￨nsubj￨cost cost￨VB￨root￨ROOT to￨TO￨mark￨fli fli￨NNP￨obl￨cost on￨IN￨case￨al0 al0￨NN￨obl￨cost from￨IN￨case￨ci0 ci0￨NNP￨obl￨cost to￨IN￨case￨ci1 ci1￨NNP￨nmod￨ci0
show￨VB￨root￨ROOT me￨PRP￨iobj￨show all￨DT￨det￨flight flight￨NN￨obj￨show that￨WDT￨nsubj￨arriv arriv￨VBP￨acl:relcl￨flight in￨IN￨case￨ci0 ci0￨NN￨obl￨arriv from￨IN￨case￨ci2 ci1￨NNP￨compound￨ci2 ci2￨NN￨obl￨arriv or￨CC￨cc￨ci3 ci3￨NNP￨conj￨ci2
i￨PRP￨nsubj￨need need￨VBP￨root￨ROOT inform￨VB￨xcomp￨need on￨IN￨case￨ci0 flight￨NN￨compound￨leav leav￨NN￨compound￨ci0 ci0￨NN￨obl￨inform on￨IN￨case￨arriv da0￨NNP￨compound￨arriv arriv￨NN￨nmod￨ci0 in￨IN￨case￨california ci1￨NNP￨compound￨california california￨NNP￨obl￨inform
what￨WP￨root￨ROOT the￨DT￨det￨flight latest￨JJS￨amod￨flight flight￨NN￨nsubj￨what out￨IN￨case￨ci0 of￨IN￨case￨ci0 ci0￨NN￨nmod￨flight that￨WDT￨nsubj￨arriv arriv￨VBP￨acl:relcl￨flight in￨IN￨case￨da0 ci1￨DT￨det￨da0 next￨JJ￨amod￨da0 da0￨NN￨obl￨arriv
show￨VB￨root￨ROOT me￨PRP￨iobj￨show the￨DT￨det￨al0 al0￨NN￨obj￨show with￨IN￨case￨meal meal￨NN￨nmod￨al0 which￨WDT￨nsubj￨depart depart￨VBP￨acl:relcl￨al0 ci0￨RB￨advmod￨depart on￨IN￨case￨da0 da0￨NN￨obl￨depart for￨IN￨nmod￨da0 ci1￨.￨punct￨show
which￨WDT￨det￨flight flight￨NN￨nsubj￨fare is￨VBZ￨cop￨fare a￨DT￨det￨fare one￨CD￨nummod￨way way￨NN￨compound￨fare fare￨NN￨root￨ROOT at￨IN￨case￨do0 do0￨NN￨nmod￨fare from￨IN￨case￨ci0 ci0￨NNP￨nmod￨fare to￨IN￨case￨ci1 ci1￨NNP￨nmod￨fare
i￨PRP￨nsubj￨like 'd￨MD￨aux￨like like￨VB￨root￨ROOT to￨TO￨mark￨go go￨VB￨xcomp￨like from￨IN￨case￨ci0 ci0￨NNP￨obl￨go to￨IN￨case￨ci1 ci1￨NNP￨obl￨go at￨IN￨case￨o'clock ti0￨CD￨nummod￨o'clock o'clock￨NN￨obl￨go da0￨JJ￨amod￨night night￨NN￨nmod:tmod￨o'clock
pleas￨NNS￨nsubj￨list list￨VBP￨root￨ROOT the￨DT￨det￨cost cost￨NN￨obj￨list of￨IN￨case￨flight all￨DT￨det￨flight flight￨NN￨nmod￨cost from￨IN￨case￨ci0 ci0￨NN￨nmod￨flight to￨IN￨case￨da0 ap0￨DT￨det￨da0 next￨JJ￨amod￨da0 da0￨NN￨obl￨list
what￨WDT￨det￨flight economi￨DT￨det￨flight flight￨NN￨nsubj￨avail are￨VBP￨aux￨avail avail￨VB￨root￨ROOT from￨IN￨case￨ci0 ci0￨NN￨obl￨avail to￨IN￨mark￨ci1 ci1￨VB￨advcl￨avail on￨IN￨case￨dn0 mn0￨NNP￨compound￨dn0 dn0￨NN￨obl￨ci1 yr0￨.￨punct￨avail
show￨VB￨root￨ROOT me￨PRP￨iobj￨show one￨CD￨nummod￨way way￨NN￨compound￨flight flight￨NN￨obj￨show from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨leav ci1￨NNP￨compound￨leav leav￨NN￨obl￨show on￨IN￨case￨morn da0￨NNP￨compound￨morn morn￨NN￨obl￨show
i￨PRP￨nsubj￨want want￨VBP￨root￨ROOT to￨TO￨mark￨leav leav￨VB￨xcomp￨want ci0￨DT￨det￨da0 next￨JJ￨amod￨da0 da0￨NN￨obj￨leav and￨CC￨cc￨arriv arriv￨VB￨conj￨leav in￨IN￨case￨ci1 ci1￨NN￨obl￨arriv around￨RB￨advmod￨arriv ti0￨.￨punct￨want
i￨PRP￨nsubj￨like would￨MD￨aux￨like like￨VB￨root￨ROOT one￨CD￨nummod￨flight flight￨NN￨obj￨like from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨TO￨mark￨ci1 ci1￨VB￨advcl￨like arriv￨NN￨obj￨ci1 around￨IN￨case￨ti0 ti0￨NN￨obl￨ci1 ti1￨.￨punct￨like
i￨PRP￨nsubj￨need need￨VBP￨root￨ROOT a￨DT￨det￨flight flight￨NN￨obj￨need from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨TO￨mark￨reach ci1￨RB￨advmod￨reach reach￨VB￨advcl￨need ci1￨DT￨det￨earli earli￨NN￨obj￨reach on￨IN￨obl￨reach da0￨.￨punct￨need
i￨PRP￨nsubj￨live live￨VBP￨root￨ROOT in￨IN￨case￨ci0 ci0￨NNP￨obl￨live and￨CC￨cc￨like i￨PRP￨nsubj￨like 'd￨MD￨aux￨like like￨VB￨conj￨live to￨TO￨mark￨make make￨VB￨xcomp￨like a￨DT￨det￨trip trip￨NN￨obj￨make to￨IN￨case￨ci1 ci1￨NNP￨nmod￨trip
can￨MD￨aux￨tell you￨PRP￨nsubj￨tell tell￨VB￨root￨ROOT me￨PRP￨iobj￨tell the￨DT￨det￨flight afternoon￨NN￨compound￨flight nonstop￨JJ￨amod￨flight flight￨NN￨nsubj￨depart depart￨VB￨ccomp￨tell from￨IN￨case￨ci0 ci0￨NNP￨obl￨depart to￨IN￨case￨ci1 ci1￨NNP￨obl￨depart
show￨VB￨root￨ROOT me￨PRP￨iobj￨show the￨DT￨det￨fare fare￨NN￨obj￨show on￨IN￨case￨trip all￨DT￨det￨trip flight￨NN￨compound￨round round￨JJ￨amod￨trip trip￨NN￨nmod￨fare from￨IN￨case￨ci0 ci0￨NNP￨nmod￨trip to￨IN￨case￨ci1 ci1￨NNP￨obl￨show
okay￨UH￨discourse￨get could￨MD￨aux￨get you￨PRP￨nsubj￨get get￨VB￨root￨ROOT me￨PRP￨iobj￨get a￨DT￨det￨ticket round￨JJ￨amod￨trip trip￨NN￨compound￨ticket ticket￨NN￨obj￨get from￨IN￨case￨ci1 ci1￨NNP￨nmod￨ticket to￨IN￨case￨ci0 ci0￨NNP￨obl￨get
show￨VB￨root￨ROOT me￨PRP￨iobj￨show flight￨NN￨obj￨show which￨WDT￨nsubj￨leav leav￨VBP￨acl:relcl￨flight from￨IN￨case￨ci0 ci0￨NN￨obl￨leav on￨IN￨case￨arriv mn0￨DT￨det￨arriv dn0￨NN￨compound￨arriv arriv￨NN￨obl￨leav in￨IN￨case￨ci1 ci1￨NNP￨nmod￨arriv
pleas￨NNS￨nsubj￨show show￨VBP￨root￨ROOT me￨PRP￨iobj￨show flight￨NN￨obj￨show from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨show on￨IN￨case￨breakfast da0￨DT￨det￨breakfast morn￨NN￨compound￨serv serv￨NN￨compound￨breakfast breakfast￨NN￨obl￨show
repeat￨VB￨root￨ROOT leav￨NN￨compound￨ci1 ci1￨NN￨obj￨repeat to￨TO￨mark￨ci0 ci0￨VB￨advcl￨repeat befor￨TO￨mark￨ti0 ti0￨VB￨advcl￨ci0 what￨WDT￨det￨type type￨NN￨nsubj￨use of￨IN￨case￨aircraft aircraft￨NN￨nmod￨type is￨VBZ￨aux￨use use￨VB￨ccomp￨ti0
i￨PRP￨nsubj￨want want￨VBP￨root￨ROOT to￨TO￨mark￨fli fli￨VB￨xcomp￨want from￨IN￨case￨ci1 ci1￨NNP￨obl￨fli to￨TO￨mark￨ci0 ci0￨VB￨advcl￨fli tomorrow￨NN￨obl:tmod￨ci0 and￨CC￨cc￨stop stop￨VB￨conj￨ci0 in￨IN￨case￨ci2 ci2￨NNP￨obl￨stop
